PROGRAM,POSITION,ERROR,WELD_SPEED,COMMAND_CURRENT,CURRENT_OUTPUT,COMMAND_VOLTAGE,VOLTAGE_OUTPUT,SHORT_COUNT,PULSE_FREQUENCY,MOTOR_CURRENT,WIRE_SPEED,INSTANT_ARC_LACK_TIME,TIMESTAMP
SALDATURA OP1,P015,N,0.7,150,0,14.4,0,20,49,0.08,0,0,1568843507
SALDATURA OP2,P009,N,0.8,220,207,18,17.5,75,77,1.39,13.3,0,1568828330
SALDATURA OP1,P027,N,0.8,220,14,18,13,2,59,0.09,2,0,1568827052
SALDATURA OP2,P017,N,0.8,220,200,18,18.6,86,77,1.02,13.3,0,1568844715
SALDATURA OP1,P027,N,0.8,220,89,18,12.6,8,50,0.13,13.3,0,1568827252
SALDATURA OP2,P084,N,0.72,240,223,20,19.5,96,98,3.55,14,0,1568304358
SALDATURA OP1,P027,N,0.8,220,135,18,15.4,21,67,0.22,13.3,0,1568827452
SALDATURA OP1,P109,N,0.8,220,234,18,14.9,112,119,1.39,13.3,0,1568819190
SALDATURA OP2,P085,N,0.72,230,219,19.6,19.9,99,100,1.18,14,0,1568301358
SALDATURA OP1,P104,N,0.7,180,192,17.5,16.6,74,67,0.86,9.72,0,1568295791
SALDATURA OP1,P100,N,0.5,120,126,16.5,16,58,56,0.11,5.28,0,1568820110
SALDATURA OP2,P035,N,0.8,220,221,18,17.3,96,81,1.27,13.3,0,1568819243
SALDATURA OP1,P063,N,0.8,220,216,18,17.8,82,93,1.32,13.3,0,1568841783
SALDATURA OP1,P027,N,0.8,220,20,18,13.4,1,62,0.09,2,0,1568821355
SALDATURA OP2,P038,N,0.8,220,224,18,16.7,93,76,0.64,13.3,0,1568828693
SALDATURA OP1,P027,N,0.8,220,96,18,13.1,9,54,0.15,13.3,0,1568821555
SALDATURA OP1,P063,N,0.8,220,221,18,17.4,95,237,1.06,13.3,0,1568856537
SALDATURA OP1,P031,N,0.8,220,234,18,16.3,98,80,2.35,13.3,0,1568300679
SALDATURA OP2,P107,N,0.8,220,215,18,18.1,97,77,1.65,13.3,0,1568829083
SALDATURA OP1,P013,N,0.8,220,222,18,16.4,89,74,0.97,13.3,0,1568825119
SALDATURA OP2,P045,N,0.8,220,213,18,18.1,94,110,0.25,13.3,0,1568859601
SALDATURA OP1,P108,N,0.8,150,0,14.4,0,32,73,0.09,0,0,1568822155
SALDATURA OP1,P027,N,0.8,220,98,18,13.3,9,53,0.3,13.3,0,1568827068
SALDATURA OP1,P050,N,0.72,240,232,20.6,19.3,97,84,0.99,14,0,1568825806
SALDATURA OP2,P090,N,0.5,120,120,16.5,16.1,50,42,0.25,5.28,0,1568816340
SALDATURA OP1,P065,N,0.4,120,94,16.5,10.2,3,24,0.15,5.28,0,1568818553
SALDATURA OP2,P075,N,0.8,220,212,18,17.8,91,73,1.41,13.3,0,1568319390
SALDATURA OP1,P078,N,0.9,150,32,14.4,9.9,75,77,0.04,0,0,1568819110
SALDATURA OP1,P065,N,0.4,120,127,16.5,14.8,21,60,0.39,5.28,0,1568818853
SALDATURA OP2,P038,N,0.8,220,222,18,16.4,101,447,2.62,13.3,0,1568824843
SALDATURA OP1,P102,N,0.5,190,198,17,16.1,76,74,0.88,10.45,0,1568824301
SALDATURA OP1,P008,N,0.8,220,220,18,16.8,103,101,1.09,13.3,0,1568852081
SALDATURA OP2,P073,N,0.9,150,0,14.4,0,46,69,0.06,0,0,1568824644
SALDATURA OP2,P043,N,0.8,220,216,18,17.3,102,73,1.8,13.3,0,1568848976
SALDATURA OP1,P065,N,0.4,120,131,16.5,15.7,60,64,0.14,5.28,0,1568819453
SALDATURA OP2,P084,N,0.72,240,109,20,17.7,13,53,0.28,14,0,1568827153
SALDATURA OP1,P089,N,0.8,220,224,18,17.7,97,93,0.7,13.3,0,1568815234
SALDATURA OP1,P065,N,0.4,120,130,16.5,16,63,61,0.1,5.28,0,1568819753
SALDATURA OP1,P005,N,0.8,220,216,18,17.8,95,95,2.18,13.3,0,1568819019
SALDATURA OP2,P086,N,0.4,120,122,16.5,17.2,47,46,0.11,5.28,0,1568825626
SALDATURA OP2,P004,N,0.8,220,0,18,13.7,0,1204,0.05,2,0,1568839268
SALDATURA OP1,P065,N,0.4,120,128,16.5,15.3,62,61,0.1,5.28,0,1568820153
SALDATURA OP1,P100,N,0.5,120,128,16.5,15.8,61,57,0.57,5.28,0,1568820253
SALDATURA OP1,P031,N,0.8,220,223,18,16.8,96,82,1.29,13.3,0,1568833177
SALDATURA OP2,P045,N,0.8,220,212,18,18.4,99,98,0.46,13.3,0,1568319958
SALDATURA OP1,P080,N,0.8,220,222,18,17.5,93,447,0.08,13.3,0,1568315911
SALDATURA OP1,P060,N,0.72,150,0,14.4,1.3,95,106,0.08,7.46,0,1568822395
SALDATURA OP2,P044,N,0.8,220,220,18,17.2,92,86,0.93,13.3,0,1568839109
SALDATURA OP2,P014,N,0.8,220,210,18,18.1,80,350,0.44,13.3,0,1568843498
SALDATURA OP1,P100,N,0.5,120,126,16.5,15.5,56,46,0.68,5.28,0,1568820953
SALDATURA OP1,P005,N,0.8,220,224,18,17.2,118,94,0.78,13.3,0,1568305379
SALDATURA OP1,P067,N,0.5,80,97,14.4,14.7,53,52,0.15,0,0,1568821153
SALDATURA OP1,P067,N,0.5,150,0,14.4,4.5,47,52,0.06,7.46,0,1568821253
SALDATURA OP1,P077,N,0.9,190,0,17,6.8,0,69,0.03,2,0,1568820506
SALDATURA OP2,P009,N,0.8,220,214,18,17.7,86,73,0.96,13.3,0,1568847668
SALDATURA OP1,P032,N,0.8,220,222,18,16.7,97,77,1.39,13.3,0,1568311067
SALDATURA OP1,P038,N,0.8,220,218,18,16.9,101,478,0.66,13.3,0,1568833183
